badid;bad;adresse1;adresse2;plz;ort;kanton;beckenid;becken;typ;Latitude;Longitude;returned address;accuracy;status code
71;Schwimmbad;;Schwimmbad;3270;Aarberg;BE;185;Schwimmbecken;Freibad;47.040781;7.274997;Aarberg, Schwimmbad, 3270 Aarberg, Schweiz;3;200
195;Freibad;Freibad Andeer;Freibad Andeer;7440;Andeer;GR;400;Schwimmbecken;Freibad;46.603402;9.426366;Andeer, Schweiz;3;200
41;Schwimmbad;Bodenwiesstrasse 11;Bodenwiesstrasse 11;8450;Andelfingen;ZH;121;Schwimmerbecken;Freibad;47.598606;8.67474;Bodenwiesstrasse 11, 8450 Andelfingen, Schweiz;9;200
191;Schwimmbad;Schwimmbad Arbon;Wassergasse 6;9320;Arbon;TG;395;Schwimmbad;Freibad;47.518463;9.436184;Wassergasse 6, 9320 Arbon, Schweiz;9;200
192;Strandbad Buchhorn;Strandbad Buchhorn;Philosophenweg;9320;Arbon;TG;397;Bodensee;See;47.522549;9.422183;Philosophenweg, 9320 Arbon, Schweiz;5;200
110;Schwimmbad;Schwimmbad Rupperswil - Auenstein;Werkstrasse 1;5105;Auenstein;AG;257;Schwimmbecken;Freibad;47.412785;8.120669;Werkstrasse 1, 5105 Auenstein, Schweiz;9;200
198;Strandbad;Strandbad & Campingplatz;Strandbadstrasse;8331;Auslikon;ZH;406;Pfäffikersee;See;47.344904;8.799093;Strandbadstrasse, 8331 Pfäffikon, Schweiz;5;200
49;Rhein;;Rhein;4053;Basel;BS;134;Rhein;Fluss;47.540612;7.597567;4053 Basel, Schweiz;3;200
189;Strandbad;Strandbad Beinwil am See;Strandbad Beinwil am See;5712;Beinwil am See;AG;393;Hallwilersee;See;47.265759;8.204953;5712 Beinwil am See, Schweiz;3;200
126;Gürbe;;Gürbe;3174;Belp;BE;290;Gürbe;Fluss;46.892291;7.496088;Gürbeweg, 3123 Belp, Schweiz;5;200
138;Giessenbad;Giessenbad Belp;Flugplatzstrasse 16;3123;Belp;BE;311;Schwimmbecken;Freibad;46.910288;7.506325;Flugplatzstrasse 16, 3123 Belp, Schweiz;9;200
17;Stadt Bern;;Marzili;3000;Bern;BE;52;Aare Marzili;Fluss;46.941979;7.44282;Marzilistrasse, Bern, Schweiz;5;200
6;Stadtberner Bäder;Sportamt der Stadt Bern;Effingerstrasse 21;3001;Bern;BE;27;Wyler;Freibad;46.945704;7.434088;Effingerstrasse 21, 3008 Bern, Schweiz;9;200
70;Strandbad;;Strandbad;3989;Biel;BE;184;Bielersee;See;46.44364;8.208289;3989 Biel VS, Schweiz;3;200
118;Sonnenbad;Sonnenbad Basel-Binningen;Friedhofstrasse 9;4102;Binningen;BL;274;Schwimmerbecken;Freibad;47.54113;7.579784;Friedhofstrasse 9, 4102 Binningen, Schweiz;9;200
153;Strandbad;;Strandbad;3806;Bönigen;BE;331;Brienzer See;See;46.688926;7.856375;Strandbadstrasse, 3800 Interlaken, Schweiz;5;200
143;Strandbad;;Strandbad;3855;Brienz;BE;321;Brienzer See;See;46.752631;8.046756;Strandbadweg, 3855 Brienz, Schweiz;5;200
173;Brigelser Badesee;Badesee Brigels;Davos Tuor;7165;Brigels;GR;361;Badesee;See;46.768097;9.063421;Davos Tuor, 7165 Breil-Brigels, Schweiz;9;200
44;Aare;;Aare;5200;Brugg;AG;129;Aare;Fluss;47.481516;8.193817;Aarepromenade, 5200 Brugg, Schweiz;5;200
220;Hallen- und Freibad;Hallen- u. Freibad;Kanalstrasse 20;5200;Brugg;AG;465;Schwimmbecken (50m);Freibad;47.479107;8.194587;Kanalstrasse 20, 5200 Brugg, Schweiz;9;200
209;Badi Egelsee;Bad Egelsee;Strandbadweg 2;8608;Bubikon;ZH;431;Egelsee;See;47.327206;8.797368;Strandbadstrasse, Schweiz;5;200
1;Frei- und Hallenbad;Freibad;Freibad;3400;Burgdorf;BE;1;Schwimmbecken;Freibad;47.178176;7.579228;Schwimmbadstrasse, 4552 Derendingen, Schweiz;5;200
150;Seebad;;Seebad;7505;Celerina;GR;328;Stazersee;See;46.512333;9.858952;Celerina/Schlarigna, Schweiz;3;200
203;Sportanlage obere Au;Grossbruggerweg 6;Grossbruggerweg 6;7000;Chur;GR;417;Schwimmerbecken (25m);Hallenbad;46.858736;9.505913;Grossbruggerweg 6, 7000 Chur, Schweiz;9;200
204;Schwimmbad Sand;St. Luzistrasse 5;St. Luzistrasse 5;7000;Chur;GR;420;Freibad;Freibad;46.84619;9.536237;St. Luzistrasse 5, 7000 Chur, Schweiz;8;200
180;Freibad;;Freibad;7075;Churwalden;GR;374;Schwimmbecken;Freibad;46.787239;9.536759;7075 Churwalden, Schweiz;3;200
154;Hallen- und Freibad eau-là-là;eau-là-là;Promenade 90;7270;Davos;GR;333;Schwimmbecken;Freibad;46.800794;9.830482;Promenade 90, 7270 Davos, Schweiz;9;200
156;Strandbad;Strandbad Davosersee;Seepromenade;7260;Davos;GR;334;Davosersee;See;46.827206;9.852583;Ob dem Seeweg, 7265 Davos, Schweiz;5;200
175;Freibad Oberdorf;Sport- und Freizeitanlagen Dübendorf AG;Oberdorfstrasse 23;8600;Dübendorf;ZH;364;Schwimmbecken (50m);Freibad;47.394011;8.623619;Oberdorfstrasse 23, 8600 Dübendorf, Schweiz;9;200
213;Strandbad;Strandbad am Greifensee;Rällikon;8132;Egg;ZH;445;Greifensee;See;47.3166;8.697758;Rällikon, 8132 Egg, Schweiz;5;200
43;Emme;;Emme;3543;Emmenmatt;BE;128;Emme;Fluss;46.949955;7.750770432;;;
42;Hallen-, Frei und Sprudelbad;Hallen-,Frei-und Sprudelbad;Schlossmühlestrasse 26;8500;Frauenfeld;TG;124;Schwimmerbecken (25m);Freibad;47.552606;8.896187;Schlossmühlestrasse 26, 8500 Frauenfeld, Schweiz;9;200
182;Vitamare Freizeitzentrum;Vitamare Freizeitzentrum;Juraweg 13;5070;Frick;AG;377;Schwimmer (25/50m), Erlebnis- und Sprungbecken;Freibad;47.501888;8.019729;Juraweg 13, 5070 Frick, Schweiz;9;200
222;Hallen- und Freibad;Sportzentrum Frutigen;Sportweg 1;3714;Frutigen;BE;472;Schwimmbecken (25m);Freibad;46.593532;7.652946;Sportweg 1, 3714 Frutigen, Schweiz;9;200
148;Strandbad Kindli;;;6442;Gersau;SZ;326;Vierwaldstättersee;See;47.009348;8.523617;6442 Gersau, Schweiz;3;200
167;Kinderstrandbad Cholplatz;Seestrasse 73;Seestrasse 73;6442;Gersau;SZ;347;Vierwaldstättersee;See;46.993266;8.514505;Seestrasse 73, 6442 Gersau, Schweiz;9;200
54;Freibad Ygruben;Schwimmbad Glarus;Ygrubenstrasse 12F;8750;Glarus;GL;140;Schwimmerbecken;Freibad;47.044698;9.068908;Ygrubenstrasse 12, 8750 Glarus, Schweiz;8;200
187;Schwimmbad;Schwimmbad Gommiswald;Birchlistrasse;8737;Gommiswald;SG;387;Schwimmbecken (25m);Freibad;47.23385;9.019469;Birchlistrasse, 8737 Gommiswald, Schweiz;5;200
216;Freibad;Freibad, Gossau;Sportstrasse;9200;Gossau;SG;455;Schwimmbecken;Freibad;47.410927;9.25353;Sportstrasse, 9200 Gossau, Schweiz;5;200
174;Schwimmbad;Neumattstrasse 30;Neumattstrasse 30;2540;Grenchen;SO;363;Nichtschwimmerbecken;Freibad;47.184346;7.405858;Neumattstrasse 30, 2540 Grenchen, Schweiz;9;200
